Excel Column,Column Name,Detected Type,Pandas Type,Missing Count,Missing %,Unique Values,Minimum,Maximum,Mean,Median,Possible Outliers
A,record_id,categorical/text,string,1,0.0,200000,,,,,
B,timestamp,datetime,datetime64[us],0,0.0,8641,,,,,
C,sensor_id,categorical/text,string,1,0.0,500,,,,,
D,road_name,categorical/text,string,1,0.0,154,,,,,
E,road_type,categorical/text,string,1,0.0,4,,,,,
F,city_zone,categorical/text,string,0,0.0,5,,,,,
G,latitude,numeric,float64,0,0.0,500,12.901457,13.19993,13.0454786599517,13.04394,0
H,longitude,numeric,float64,0,0.0,499,80.150148,80.299909,80.2251226799916,80.22646,0
I,num_lanes,numeric,float64,0,0.0,6,1.0,6.0,2.471672641636792,2.0,14005
J,speed_limit_kmph,numeric,float64,0,0.0,9,20.0,110.0,52.53403732981335,50.0,16754
K,vehicle_count,numeric,int64,0,0.0,3430,0,4455,398.03305983470085,208.0,14797
L,heavy_vehicle_pct,numeric,float64,0,0.0,287,0.0,29.3,8.3560252198739,7.9,4145
M,pedestrian_count,numeric,float64,0,0.0,120,0.0,120.0,28.804635976820116,23.0,354
N,weather_condition,categorical/text,string,0,0.0,5,,,,,
O,temperature_c,numeric,float64,0,0.0,281,12.0,42.0,27.438619306903465,27.6,1132
P,humidity_pct,numeric,float64,0,0.0,840,15.0,100.0,58.67738011309943,53.3,0
Q,visibility_km,numeric,float64,0,0.0,1181,0.2,12.0,7.817541162294187,8.93,0
R,is_peak_hour,categorical/text,string,1,0.0,2,,,,,
S,is_weekend,categorical/text,string,1,0.0,2,,,,,
T,is_public_holiday,categorical/text,string,1,0.0,2,,,,,
U,signal_status,categorical/text,string,1,0.0,5,,,,,
V,signal_cycle_time_sec,numeric,int64,0,0.0,106,0,149,85.119799401003,89.0,0
W,avg_wait_time_sec,numeric,float64,0,0.0,1037,0.0,121.5,28.833916330418347,28.3,1615
X,incident_reported,categorical/text,string,1,0.0,2,,,,,
Y,incident_type,categorical/text,string,1,0.0,5,,,,,
Z,road_closure,categorical/text,string,1,0.0,2,,,,,
AA,public_transport_nearby,categorical/text,string,1,0.0,2,,,,,
AB,school_zone,categorical/text,string,1,0.0,2,,,,,
AC,construction_zone,categorical/text,string,1,0.0,2,,,,,
AD,event_nearby,categorical/text,string,1,0.0,2,,,,,
AE,parking_occupancy_pct,numeric,float64,0,0.0,997,0.0,100.0,57.25114724426378,56.2,0
AF,air_quality_index,numeric,float64,0,0.0,226,15.0,243.0,104.39530302348489,104.0,19
AG,avg_speed_kmph,numeric,float64,0,0.0,1081,2.0,110.0,44.239039804800974,40.0,9967
AH,travel_time_index,numeric,float64,0,0.0,591,1.0,35.0,1.29319053404733,1.11,19496
AI,congestion_level,categorical/text,string,0,0.0,4,,,,,
AJ,timestamp_hour,numeric,int32,0,0.0,24,0,23,11.487502562487187,11.0,0
AK,timestamp_day_of_week,numeric,int32,0,0.0,7,0,6,3.016609916950415,3.0,0
AL,timestamp_is_weekend,numeric,int64,0,0.0,2,0,1,0.28932855335723323,0.0,0
